    0.200952894587037321E+02    0.540071693318356916E+00    0.608014077123435248E+00   -0.203335674700334978E+01   -0.581903137176506888E+02
    0.502886181027358514E+01    0.292993315237546681E+00    0.971551610098466245E+00   -0.333158828381007144E+01   -0.564783587647549012E+02
    0.259456326261290755E+02    0.275026512370808093E-01    0.938837816863637098E+00   -0.391572927935688408E+01   -0.553255961805566869E+02
    0.110745077056065462E+02    0.144288133195682150E+00    0.820091759988460955E+00   -0.217565680097571956E+01   -0.550209510111393172E+02
    0.167752205619482595E+02    0.262253380859543805E+00    0.769166681841767064E+00   -0.264019901693075631E+01   -0.541675923198119662E+02
    0.193465488265876573E+02    0.205801688039094766E-01    0.729484306592947496E+00   -0.204482377529925596E+01   -0.537979194769882838E+02
    0.583660041064130475E+01    0.124795347807662646E-01    0.101414900819209719E+01   -0.261923850087116783E+01   -0.537165799996834892E+02
    0.207291577873302231E+02    0.707364663307163549E-01    0.845946517653293317E+00   -0.312331871175953291E+01   -0.534960397476866163E+02
    0.150267632044333794E+02    0.219521015768106356E-01    0.840153211981380710E+00   -0.291750967513005222E+01   -0.532876446374944450E+02
    0.147317740285789451E+02    0.500124919364109619E-01    0.922163993559657169E+00   -0.305420683951170568E+01   -0.529934770535318904E+02
    0.177504838151252713E+02    0.116949981894649627E+00    0.748708940053367078E+00   -0.233734850232988745E+01   -0.528373577594022379E+02
    0.625542847165589144E+01    0.247115460569075976E-01    0.737408291975341190E+00   -0.111781080773456187E+01   -0.527990987335417401E+02
    0.111072837655160406E+02    0.201063584404120622E-01    0.107771538684697821E+01   -0.361635837255072623E+01   -0.526642941963144438E+02
    0.119498734642455791E+02    0.663317550585141164E-01    0.859837008460483276E+00   -0.243049101644158583E+01   -0.525859453635824678E+02
    0.615725072891744674E+01    0.395862821565053091E+00    0.750366987503978344E+00   -0.223089717122477982E+01   -0.523871641663002521E+02
    0.103191916144413049E+02    0.257346871131466648E-01    0.854753079167047347E+00   -0.214978512574800051E+01   -0.522817265665414013E+02
